Pclass;Sex;Age;SibSp;Parch;Fare;Embarked
3;1;30.0;0;0;7.8958;0
2;0;18.0;0;1;23.0;0
3;1;21.0;0;0;8.4333;0
3;0;30.0;0;0;7.8292;2
3;0;18.0;0;0;6.75;2
2;1;24.0;2;0;73.5;0
3;1;30.0;0;0;7.8958;0
3;0;32.0;1;1;15.5;2
2;1;23.0;0;0;13.0;0
1;1;58.0;0;2;113.275;1
1;1;50.0;2;0;133.65;0
3;1;40.0;0;0;7.225;1
1;1;47.0;0;0;25.5875;0
3;1;36.0;0;0;7.4958;0
3;1;20.0;1;0;7.925;0
2;1;32.0;2;0;73.5;0
2;1;25.0;0;0;13.0;0
3;1;30.0;0;0;7.775;0
3;1;43.0;0;0;8.05;0
1;0;30.0;1;0;52.0;0
2;0;40.0;1;1;39.0;0
1;1;31.0;1;0;52.0;0
2;1;70.0;0;0;10.5;0
2;1;31.0;0;0;13.0;0
2;1;30.0;0;0;0.0;0
3;1;18.0;0;0;7.775;0
3;1;24.5;0;0;8.05;0
3;0;18.0;0;0;9.8417;0
3;0;43.0;1;6;46.9;0
1;1;36.0;0;1;512.3292;1
3;0;30.0;0;0;8.1375;2
1;1;27.0;0;0;76.7292;1
3;1;20.0;0;0;9.225;0
3;1;14.0;5;2;46.9;0
2;1;60.0;1;1;39.0;0
2;1;25.0;1;2;41.5792;1
3;1;14.0;4;1;39.6875;0
3;1;19.0;0;0;10.1708;0
3;1;18.0;0;0;7.7958;0
1;0;15.0;0;1;211.3375;0
1;1;31.0;1;0;57.0;0
3;0;4.0;0;1;13.4167;1
3;1;30.0;0;0;56.4958;0
3;1;25.0;0;0;7.225;1
1;1;60.0;0;0;26.55;0
2;1;52.0;0;0;13.5;0
3;1;44.0;0;0;8.05;0
3;0;30.0;0;0;7.7333;2
1;1;49.0;1;1;110.8833;1
3;1;42.0;0;0;7.65;0
1;0;18.0;1;0;227.525;1
1;1;35.0;0;0;26.2875;0
3;0;18.0;0;1;14.4542;1
3;1;25.0;0;0;7.7417;2
3;1;26.0;1;0;7.8542;0
2;1;39.0;0;0;26.0;0
2;0;45.0;0;0;13.5;0
1;1;42.0;0;0;26.2875;0
1;0;22.0;0;0;151.55;0
3;1;30.0;1;1;15.2458;1
1;0;24.0;0;0;49.5042;1
1;1;30.0;0;0;26.55;0
1;1;48.0;1;0;52.0;0
3;1;29.0;0;0;9.4833;0
2;1;52.0;0;0;13.0;0
3;1;19.0;0;0;7.65;0
1;0;38.0;0;0;227.525;1
2;0;27.0;0;0;10.5;0
3;1;30.0;0;0;15.5;2
3;1;33.0;0;0;7.775;0
2;0;6.0;0;1;33.0;0
3;1;17.0;1;0;7.0542;0
2;1;34.0;0;0;13.0;0
2;1;50.0;0;0;13.0;0
1;1;27.0;1;0;53.1;0
3;1;20.0;0;0;8.6625;0
2;0;30.0;3;0;21.0;0
3;0;30.0;0;0;7.7375;2
2;1;25.0;1;0;26.0;0
3;0;25.0;1;0;7.925;0
1;0;29.0;0;0;211.3375;0
3;1;11.0;0;0;18.7875;1
2;1;30.0;0;0;0.0;0
2;1;23.0;0;0;13.0;0
2;1;23.0;0;0;13.0;0
3;1;28.5;0;0;16.1;0
3;0;48.0;1;3;34.375;0
1;1;35.0;0;0;512.3292;1
3;1;30.0;0;0;7.8958;0
3;1;30.0;0;0;7.8958;0
1;1;30.0;0;0;30.0;0
1;1;36.0;1;0;78.85;0
1;0;21.0;2;2;262.375;1
3;1;24.0;1;0;16.1;0
3;1;31.0;0;0;7.925;0
1;1;70.0;1;1;71.0;0
3;1;16.0;1;1;20.25;0
2;0;30.0;0;0;13.0;0
1;1;19.0;1;0;53.1;0
3;1;31.0;0;0;7.75;2
2;0;4.0;1;1;23.0;0
3;1;6.0;0;1;12.475;0
3;1;33.0;0;0;9.5;0
3;1;23.0;0;0;7.8958;0
2;0;48.0;1;2;65.0;0
2;1;0.67;1;1;14.5;0
3;1;28.0;0;0;7.7958;0
2;1;18.0;0;0;11.5;0
3;1;34.0;0;0;8.05;0
1;0;33.0;0;0;86.5;0
3;1;30.0;0;0;14.5;0
3;1;41.0;0;0;7.125;0
3;1;20.0;0;0;7.2292;1
1;0;36.0;1;2;120.0;0
3;1;16.0;0;0;7.775;0
1;0;51.0;1;0;77.9583;0
1;1;30.0;0;0;39.6;1
3;0;30.5;0;0;7.75;2
3;1;30.0;1;0;24.15;2
3;1;32.0;0;0;8.3625;0
3;1;24.0;0;0;9.5;0
3;1;48.0;0;0;7.8542;0
2;0;57.0;0;0;10.5;0
3;1;30.0;0;0;7.225;1
2;0;54.0;1;3;23.0;0
3;1;18.0;0;0;7.75;0
3;1;30.0;0;0;7.75;2
3;0;5.0;0;0;12.475;0
3;1;30.0;0;0;7.7375;2
1;0;43.0;0;1;211.3375;0
3;0;13.0;0;0;7.2292;1
1;0;17.0;1;0;57.0;0
1;1;29.0;0;0;30.0;0
3;1;30.0;1;2;23.45;0
3;1;25.0;0;0;7.05;0
3;1;25.0;0;0;7.25;0
3;0;18.0;0;0;7.4958;0
3;1;8.0;4;1;29.125;2
3;1;1.0;1;2;20.575;0
1;1;46.0;0;0;79.2;1
3;1;30.0;0;0;7.75;2
2;1;16.0;0;0;26.0;0
3;0;30.0;8;2;69.55;0
1;1;30.0;0;0;30.6958;1
3;1;25.0;0;0;7.8958;0
2;1;39.0;0;0;13.0;0
1;0;49.0;0;0;25.9292;0
3;0;31.0;0;0;8.6833;0
3;1;30.0;0;0;7.2292;1
3;0;30.0;1;1;24.15;0
2;1;34.0;0;0;13.0;0
2;0;31.0;1;1;26.25;0
1;1;11.0;1;2;120.0;0
3;1;0.42;0;1;8.5167;1
3;1;27.0;0;0;6.975;0
3;1;31.0;0;0;7.775;0
1;1;39.0;0;0;0.0;0
3;0;18.0;0;0;7.775;0
2;1;39.0;0;0;13.0;0
1;0;33.0;1;0;53.1;0
3;1;26.0;0;0;7.8875;0
3;1;39.0;0;0;24.15;0
2;1;35.0;0;0;10.5;0
3;0;6.0;4;2;31.275;0
3;1;30.5;0;0;8.05;0
1;1;30.0;0;0;0.0;0
3;0;23.0;0;0;7.925;0
2;1;31.0;1;1;37.0042;1
3;1;43.0;0;0;6.45;0
3;1;10.0;3;2;27.9;0
1;0;52.0;1;1;93.5;0
3;1;27.0;0;0;8.6625;0
1;1;38.0;0;0;0.0;0
3;0;27.0;0;1;12.475;0
3;1;2.0;4;1;39.6875;0
3;1;30.0;0;0;6.95;2
3;1;30.0;0;0;56.4958;0
2;1;1.0;0;2;37.0042;1
3;1;30.0;0;0;7.75;2
3;0;15.0;1;0;14.4542;1
2;1;0.83;1;1;18.75;0
3;1;30.0;0;0;7.2292;1
3;1;23.0;0;0;7.8542;0
3;1;18.0;0;0;8.3;0
1;0;39.0;1;1;83.1583;1
3;1;21.0;0;0;8.6625;0
3;1;30.0;0;0;8.05;0
3;1;32.0;0;0;56.4958;0
1;1;30.0;0;0;29.7;1
3;1;20.0;0;0;7.925;0
2;1;16.0;0;0;10.5;0
1;0;30.0;0;0;31.0;1
3;1;34.5;0;0;6.4375;1
3;1;17.0;0;0;8.6625;0
3;1;42.0;0;0;7.55;0
3;1;30.0;8;2;69.55;0
3;1;35.0;0;0;7.8958;1
2;1;28.0;0;1;33.0;0
1;0;30.0;1;0;89.1042;1
3;1;4.0;4;2;31.275;0
3;1;74.0;0;0;7.775;0
3;0;9.0;1;1;15.2458;1
1;0;16.0;0;1;39.4;0
2;0;44.0;1;0;26.0;0
3;0;18.0;0;1;9.35;0
1;0;45.0;1;1;164.8667;0
1;1;51.0;0;0;26.55;0
3;0;24.0;0;3;19.2583;1
3;1;30.0;0;0;7.2292;1
3;1;41.0;2;0;14.1083;0
2;1;21.0;1;0;11.5;0
1;0;48.0;0;0;25.9292;0
3;0;30.0;8;2;69.55;0
2;1;24.0;0;0;13.0;0
2;0;42.0;0;0;13.0;0
2;0;27.0;1;0;13.8583;1
1;1;31.0;0;0;50.4958;0
3;1;30.0;0;0;9.5;0
3;1;4.0;1;1;11.1333;0
3;1;26.0;0;0;7.8958;0
1;0;47.0;1;1;52.5542;0
1;1;33.0;0;0;5.0;0
3;1;47.0;0;0;9.0;0
2;0;28.0;1;0;24.0;1
3;0;15.0;0;0;7.225;1
3;1;20.0;0;0;9.8458;0
3;1;19.0;0;0;7.8958;0
3;1;30.0;0;0;7.8958;0
1;0;56.0;0;1;83.1583;1
2;0;25.0;0;1;26.0;0
3;1;33.0;0;0;7.8958;0
3;0;22.0;0;0;10.5167;0
2;1;28.0;0;0;10.5;0
3;1;25.0;0;0;7.05;0
3;0;39.0;0;5;29.125;2
2;1;27.0;0;0;13.0;0
1;0;19.0;0;0;30.0;0
3;0;30.0;1;2;23.45;0
1;1;26.0;0;0;30.0;1
3;1;32.0;0;0;7.75;2
3;0;30.605629946047227;0;0;9.00538202306323;0
1;0;45.07570785662177;0;0;56.371231895921774;0
1;0;27.483207043287646;1;0;52.92282408412787;0
3;0;30.0;0;0;7.743331666082821;2
3;0;30.0;0;0;7.75;2
1;0;22.0;0;1;54.90936885061956;0
1;0;30.39682895189008;1;0;89.17529587502064;0
3;0;30.0;0;0;7.75;2
1;0;38.386371421360714;1;1;112.74805588762692;0
2;1;0.9066082033881849;1;1;19.57241159519669;0
1;1;30.90447285474229;0;0;30.226118213685574;0
2;0;2.8133465792603585;1;1;41.33849174861416;0
1;0;50.4843038774034;1;0;77.18562344230155;1
1;0;40.20342664167362;0;0;134.43844660412933;0
3;0;30.0;0;0;7.514224596685968;1
3;0;30.0;0;0;7.837255319827085;2
3;0;26.246474009201886;0;0;8.053424941637884;0
1;0;20.548827088947775;1;0;91.0792;1
3;0;12.145737098532805;0;0;11.046572598774425;1
1;0;50.417394790885496;1;0;77.60025996873868;0
1;1;31.678486695610168;0;0;30.41962167390254;0
2;0;44.17031057896523;0;0;13.873360239465645;0
2;0;24.0;0;2;17.148954227100088;0
1;0;18.2865366167291;0;1;23.94078567370666;0
1;0;36.38706049334088;1;0;52.72147119136727;0
2;0;23.330522930699367;1;0;27.00421560395095;0
1;1;77.99494091106112;0;0;27.827852653649543;0
1;0;34.34589285837694;0;0;77.4171588551839;0
2;1;1.0733507598925969;0;2;29.26774190748552;0
1;0;38.696311268235405;1;0;77.10912748794517;0
3;1;18.44032787666541;0;0;8.05;0
2;0;58.5057150750178;0;0;13.189950260181046;0
3;0;30.0;0;0;7.746077104790496;2
1;0;37.73743199509647;0;0;135.1410420799893;1
3;0;30.0;0;0;7.75;2
3;1;30.582671087861403;0;0;8.582293036618287;0
3;0;30.0;1;0;15.5;2
1;0;57.30346893241912;1;0;78.88541594432834;1
2;0;5.782729738726168;0;1;33.62133500850682;0
3;0;15.249282999656833;0;0;7.4306584747168865;0
3;0;30.0;1;0;15.84443829508998;0
1;0;22.49671202241416;0;0;53.63508503360812;0
2;0;29.84170207852359;1;0;24.138127655889267;1
2;0;43.71877815136122;0;0;8.638600440920897;0
3;1;30.0;0;0;7.386865416809947;0
1;0;22.819743319220418;2;2;262.9436697872564;0
2;1;1.0;1;1;38.74327785601078;0
2;0;24.327120348375942;1;0;26.0;0
3;0;30.0;0;0;7.75;2
2;0;43.1981361303084;1;0;26.0998446775257;0
1;0;20.12153430540496;2;2;262.6401917881756;0
1;0;15.686655136192718;1;0;113.75937599608694;0
3;1;31.122243549632504;0;0;7.940280443704063;0
1;1;28.40279900276274;0;0;26.55;0
3;0;30.0;0;0;7.74764555435355;2
3;0;17.46798757405675;2;1;8.591882293030867;0
3;0;30.0;0;0;7.75;2
1;0;30.0;1;0;51.99897887295012;0
1;0;35.4484072740176;0;0;26.303375999290324;0
3;0;30.0;1;0;15.5;2
2;0;3.2576716646382784;0;2;28.272280676067663;0
3;0;30.0;1;0;15.623657436467164;1
1;1;30.0;0;0;30.274206049823647;0
1;0;46.48405660120433;0;0;54.266032192519766;0
3;0;26.33161605274054;0;0;7.87767841653403;0
2;0;24.02931972289377;1;1;27.087959168681312;0
1;0;30.0;0;0;80.28166721243899;1
2;0;18.967802065062077;0;0;10.478804099430365;0
3;1;27.0;0;0;7.184484038259638;0
1;1;53.635434988807724;0;0;31.267428629965828;0
1;1;39.51298257810779;0;0;30.43840803538054;0
3;1;7.372092222634482;0;1;14.041471954174368;0
1;0;18.53419554580004;0;1;79.59658044542;0
1;0;30.65336487135304;0;0;112.44595276281507;1
2;0;1.0117410178965236;2;1;39.0;0
1;0;26.308192011221887;0;0;52.27079894465055;0
1;0;61.72132234097647;1;0;76.80395243202219;0
3;0;30.0;0;0;7.75;2
1;0;33.49917037386457;0;0;82.19179066965421;0
1;0;32.85153241785414;0;0;222.0401548523709;0
1;0;49.60722295501779;0;0;246.5390635954931;1
1;0;54.961496509222954;0;0;82.07825636959187;0
2;0;29.96256681821899;1;0;26.120320852277374;0
2;0;33.36119845870012;0;0;13.0;0
1;0;28.940935868007326;1;0;89.52253033213711;1
1;0;24.466092133803254;0;0;217.99977680069307;0
3;0;22.0;0;0;7.762974343112371;0
3;0;18.181628842673824;0;0;8.014437072604466;0
1;0;26.32131889950643;0;0;78.16854687792676;0
1;0;35.61786801374973;1;0;82.88416371185183;0
3;0;30.0;1;0;15.4054531823332;0
2;0;24.0;0;0;13.625936591355016;0
3;0;23.0219309852094;0;0;7.46721053083451;0
1;1;51.23659981170552;0;0;27.484569256236803;0
1;0;22.500993997632975;0;0;62.82949502252495;0
3;0;30.0;1;0;15.479256636316192;1
1;0;37.26962926237439;0;0;72.00606575232008;1
3;0;30.0;0;0;7.8523826362442755;2
1;0;36.0;1;2;120.0;0
2;0;48.431655249739364;0;0;9.731511072372289;0
1;0;23.905320925524528;0;0;69.1721832494581;0
1;0;22.483371274490796;0;0;67.25255122056257;0
3;0;16.0;0;0;7.734895345013975;2
1;0;51.57050056572553;1;0;51.73531864864084;0
1;0;37.2701197766114;0;0;110.0263750000074;1
1;0;30.52510856056994;0;0;133.85828956163567;0
1;0;51.82710843168141;0;0;30.30243680488235;0
3;0;21.207787345050875;1;0;15.774400842367251;0
2;0;29.0;0;0;9.519417801405712;0
1;0;31.618514467661207;0;0;88.38826687893807;1
3;0;30.0;0;0;7.75;2
2;0;17.994454591593094;0;1;12.986136478982738;0
1;0;35.0;0;0;512.3292;1
1;0;20.801585088580588;0;0;78.00381871497268;0
2;0;43.1255565824484;0;0;13.1875927637414;0
2;0;3.291114475916584;0;1;40.74669022940548;0
1;0;23.46190876156845;0;0;66.10282328861125;1
2;0;19.0;0;0;26.0;0
3;0;33.63267754573994;1;1;20.344003418730377;0
2;0;27.0;0;0;10.627342233054932;0
1;0;44.60346100636082;0;1;56.88794134683086;0
2;0;35.0;0;0;20.8438137774458;0
1;0;37.226529192795155;1;0;54.17086596297527;0
1;0;49.42199362422848;1;0;51.851885144100365;0
3;0;30.0;0;0;7.226724183098738;1
2;0;40.382013910740845;0;0;15.224730872731342;0
3;0;3.0325056931935817;0;1;15.81927861209238;0
3;0;2.04774890057112;0;2;21.081411968609373;0
1;1;31.7309197030458;0;0;30.43272992576145;0
1;0;15.353393009195011;0;0;211.3375;0
3;0;5.466188370417731;0;1;12.726345205788812;0
3;1;30.49792889967326;0;0;7.849689334950988;0
1;1;26.932551364869948;0;0;53.329042075174634;0
1;0;29.972133044379166;0;0;56.92618061535848;0
1;0;42.47292479239606;0;0;26.406904491377567;0
2;0;23.37429218234545;0;0;14.056811152755282;0
1;0;16.785988085091653;0;0;57.209560467078255;0
1;1;28.2108917322109;0;0;35.5;0
2;0;2.7675202143957645;1;1;26.0;0
1;0;21.196339186980772;1;0;111.95983065717348;1
2;0;3.634442267899439;1;1;24.096673196301683;0
2;0;19.843704344358727;0;0;26.843704344358727;0
2;0;28.362276760976577;1;0;24.72455352195315;0
2;0;33.98811431255294;0;0;10.514857109308824;0
3;1;30.0;0;0;7.428809498931155;0
1;0;30.0;0;0;31.932228036603412;0
3;0;30.0;1;0;15.458815574221754;1
1;1;44.41540134983775;1;0;52.33109742865332;0
2;0;30.0;0;0;56.62285227990302;0
3;1;18.632050494801728;0;0;8.05;0
2;0;27.026196605250846;0;0;13.8358154537132;0
3;1;19.887593460467777;0;0;7.939050817441528;0
3;0;30.0;0;0;7.75;2
2;0;5.8730419689640385;0;1;32.79528017495451;0
1;1;40.88581230785301;1;0;52.5542;0
3;0;4.95410476779783;0;0;12.518219540164784;0
3;0;1.9782555522190823;2;1;19.2583;1
3;0;21.97104614051013;0;0;7.751326086764636;0
1;0;59.230097598853845;1;0;79.08024168150172;1
3;0;13.579676697358604;0;0;7.4610706789434404;1
3;0;18.95850974302167;0;0;8.027006099582609;0
1;0;34.29813337886582;0;0;149.5044352476073;0
3;0;26.872878914321806;0;0;8.568748199312333;0
1;0;72.16893130458048;0;0;28.77194604549103;0
2;0;18.070236347096152;0;0;9.887936587293398;0
1;0;48.0;1;0;41.444842937402086;0
1;0;22.119941970143454;0;0;66.76192165969366;0
3;0;23.33086478913285;1;0;15.831883164165772;0
1;0;26.36932953294964;0;2;162.81665846381085;0
3;1;32.0;0;0;7.862973749102615;0
1;0;58.0;0;0;149.32186689778118;0
2;0;25.049177442627794;0;0;25.96721503824814;0
1;0;20.605921830253035;0;1;51.59111725462045;0
1;0;30.03868757062952;0;0;133.66534581176592;0
3;0;0.9787944306386915;1;1;20.46331450728786;0
3;1;30.0;1;1;15.2458;1
2;0;39.875124533873226;0;0;12.366257009406615;0
2;0;3.2728473640247735;1;1;24.09072895396284;0
3;1;20.460040064787442;0;0;7.865562823629462;0
3;0;30.0;0;0;7.857605160690949;2
1;0;75.03980607326888;0;0;29.222151406944437;0
1;0;48.572146767984464;1;0;71.71082387104335;0
3;1;26.321903590059208;0;0;4.610138770331482;0
1;0;18.894736179951988;2;2;262.375;1
3;0;30.0;0;0;7.75;2
1;0;26.45308892454613;0;0;77.88908900882257;0
2;0;27.93235066154208;0;0;12.547396248360876;0
1;0;50.65002501008199;1;0;54.68104092376329;0
2;0;17.0;0;0;10.577621442572788;0
1;0;33.11206950753029;0;0;31.612069507530293;0
2;0;33.4994385791509;0;1;24.501684262547304;0
2;0;21.989403367101254;1;0;28.989403367101254;0
1;0;15.557332868375113;1;0;114.23786838701209;0
1;0;26.782364995687956;0;0;52.83914268383158;0
1;0;19.785291201240472;0;1;79.07061349549076;0
1;0;25.35436949412697;2;1;262.19367091255805;0
1;0;27.15254774568292;0;0;111.85619307952146;1
3;0;2.744792961188224;0;1;12.70801010588687;0
3;0;26.142846942128756;0;0;7.789295404977681;0
2;0;40.97338888444004;0;0;19.40020831665015;0
3;0;30.0;0;0;7.8792;2
3;1;30.0;0;0;8.3254423267337;0
3;0;30.0;0;0;7.796282476344311;2
3;1;28.430116283282555;0;0;56.4958;0
1;0;26.435859937308372;0;0;77.93817095901692;1
3;0;15.0;0;0;7.494844383100293;1
1;1;28.95130131591732;0;0;30.17478311401378;0
2;0;15.169622690984877;0;0;11.537341628857945;1
3;1;26.509594163145568;0;0;7.171162334741773;0
